geometry,label,elevation,slope,aspect,u_left,v_left,key_left,osmid_left,highway_left,oneway_left,reversed_left,length_left,bridge_left,ref_left,lanes_left,junction_left,name_left,tunnel_left,dist_to_road,rainfall,index_right,u_right,v_right,key_right,osmid_right,highway_right,oneway_right,reversed_right,length_right,bridge_right,ref_right,lanes_right,junction_right,name_right,tunnel_right
POINT (478783.31260569836 2770106.928355469),1,,,,9784757148,9784622508,0,1065443140,['residential'],False,False,88.43284230269639,,,,,,,4558.499056206832,8.142277717590332,2082,9784622508,9784757148,0,1065443140,['residential'],False,True,88.43284230269639,,,,,,
POINT (478828.1572115603 2770143.8425603346),1,,,,9784622508,9784757148,0,1065443140,['residential'],False,True,88.43284230269639,,,,,,,4519.260630559314,8.142277717590332,2082,9784622508,9784757148,0,1065443140,['residential'],False,True,88.43284230269639,,,,,,
POINT (478828.1572115603 2770143.8425603346),1,,,,9784757148,9784622508,0,1065443140,['residential'],False,False,88.43284230269639,,,,,,,4519.260630559314,8.142277717590332,2082,9784622508,9784757148,0,1065443140,['residential'],False,True,88.43284230269639,,,,,,
POINT (479158.9233265811 2770214.090061548),1,,,,2468740900,2468740850,0,"[1053899047, 1053899048, 1053899053, 1320188154, 1320188155]",['trunk'],True,False,2530.826116156214,yes,NH27,,,,,4372.9935665885905,8.142277717590332,2009,2468740900,2468740850,0,"[1053899047, 1053899048, 1053899053, 1320188154, 1320188155]",['trunk'],True,False,2530.826116156214,yes,NH27,,,,
POINT (478747.54016253835 2770260.4558206475),1,,,,9784622508,9784757148,0,1065443140,['residential'],False,True,88.43284230269639,,,,,,,4407.516116876501,8.142277717590332,2082,9784622508,9784757148,0,1065443140,['residential'],False,True,88.43284230269639,,,,,,
POINT (478747.54016253835 2770260.4558206475),1,,,,9784757148,9784622508,0,1065443140,['residential'],False,False,88.43284230269639,,,,,,,4407.516116876501,8.142277717590332,2082,9784622508,9784757148,0,1065443140,['residential'],False,True,88.43284230269639,,,,,,
POINT (479495.4602449883 2770435.04041853),1,,,,2468740900,2468740850,0,"[1053899047, 1053899048, 1053899053, 1320188154, 1320188155]",['trunk'],True,False,2530.826116156214,yes,NH27,,,,,4028.102261370137,8.142277717590332,2009,2468740900,2468740850,0,"[1053899047, 1053899048, 1053899053, 1320188154, 1320188155]",['trunk'],True,False,2530.826116156214,yes,NH27,,,,
POINT (479548.7239369926 2770437.9502213816),1,,,,2468740900,2468740850,0,"[1053899047, 1053899048, 1053899053, 1320188154, 1320188155]",['trunk'],True,False,2530.826116156214,yes,NH27,,,,,4003.8834616215163,8.142277717590332,2009,2468740900,2468740850,0,"[1053899047, 1053899048, 1053899053, 1320188154, 1320188155]",['trunk'],True,False,2530.826116156214,yes,NH27,,,,
POINT (479792.60352216713 2770489.9622902228),1,,,,2468740900,2468740850,0,"[1053899047, 1053899048, 1053899053, 1320188154, 1320188155]",['trunk'],True,False,2530.826116156214,yes,NH27,,,,,3864.14005418961,8.142277717590332,2009,2468740900,2468740850,0,"[1053899047, 1053899048, 1053899053, 1320188154, 1320188155]",['trunk'],True,False,2530.826116156214,yes,NH27,,,,
POINT (479860.5994703969 2771043.5119612995),1,,,,2468740900,2468740850,0,"[1053899047, 1053899048, 1053899053, 1320188154, 1320188155]",['trunk'],True,False,2530.826116156214,yes,NH27,,,,,3324.4523675857604,8.142277717590332,2009,2468740900,2468740850,0,"[1053899047, 1053899048, 1053899053, 1320188154, 1320188155]",['trunk'],True,False,2530.826116156214,yes,NH27,,,,
POINT (480000.97614506073 2771230.882261252),1,,,,2468740900,2468740850,0,"[1053899047, 1053899048, 1053899053, 1320188154, 1320188155]",['trunk'],True,False,2530.826116156214,yes,NH27,,,,,3097.8719544479827,8.142277717590332,2009,2468740900,2468740850,0,"[1053899047, 1053899048, 1053899053, 1320188154, 1320188155]",['trunk'],True,False,2530.826116156214,yes,NH27,,,,
